#Organism group,Strain,Isolate,Create date,Location,Isolation source,AMR genotypes,Virulence genotypes,Stress genotypes,AST phenotypes,Host disease
"Staphylococcus pseudintermedius","NA45","PDT000138758.1","2016-07-08T15:51:12Z","USA","urine","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,mecA=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"infection"
"Staphylococcus pseudintermedius","081661","PDT000138760.2","2016-07-27T19:46:03Z","USA","skin","aac(6')-Ie/aph(2'')-Ia=COMPLETE,ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,erm(B)=COMPLETE,fosB=HMM,grlA_S80I=POINT,gyrA_S84L=POINT,mecA=COMPLETE,mecI=COMPLETE,mecR1=COMPLETE,sat4=COMPLETE","icaC=COMPLETE",,,"pyoderma"
"Staphylococcus pseudintermedius","41-096","PDT000354721.1","2018-07-24T17:10:48Z","USA: Texas","Skin pustule","blaI=COMPLETE,blaR1=HMM,blaZ=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"pyoderma"
"Staphylococcus pseudintermedius","53_88","PDT000470822.1","2019-02-27T13:50:32Z","USA: California","blood",,"sec3=COMPLETE,sel=COMPLETE,seq=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","53_60","PDT000470823.1","2019-02-27T13:50:52Z","USA: Georgia","blood","blaI=COMPLETE,blaZ=COMPLETE,fosB=HMM","icaC=COMPLETE,sec3=COMPLETE,sel=COMPLETE,seq=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","51_92","PDT000470824.1","2019-02-27T13:51:14Z","USA: Texas","blood","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","49_44","PDT000470825.1","2019-02-27T13:51:34Z","USA: Texas","blood","ant(6)-Ia=COMPLETE,aph(3')-IIIa=COMPLETE,blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM,sat4=COMPLETE,tet(M)=COMPLETE","icaC=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","46_57","PDT000473857.1","2019-03-01T04:16:05Z","USA: Texas","blood","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","50_21","PDT000473858.1","2019-03-01T04:16:08Z","USA: Texas","blood","blaI=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","53_58","PDT000473859.1","2019-03-01T21:15:41Z","USA: Georgia","blood","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,blaZ=COMPLETE,fosB=HMM,tet(M)=COMPLETE","icaC=COMPLETE",,,"Bacteremia"
"Staphylococcus pseudintermedius","53_63","PDT000473860.1","2019-03-01T21:16:22Z","USA: Georgia","blood","blaI=COMPLETE,blaPC1=COMPLETE,blaR1=COMPLETE,fosB=HMM","icaC=COMPLETE",,,"Bacteremia"
